Client_ID,Sexe,Age,Navigateur,OS,Pays,Geolocalisation,Campagne,Moyenne_Pages_Visitees,Haut_Revenu
223895,M,54,Firefox,Windows,China,121.3997 31.0456,FALSE,11,FALSE
232191,M,40,Safari,MacOS X,Australia,143.2104 -33.494,TRUE,15,FALSE
240612,F,49,Chrome,Linux,United States,-97.822 37.751,FALSE,8.8,FALSE
248538,F,62,Chrome,Windows,United States,-79.7248 40.5728,FALSE,14,FALSE
258289,M,34,Chrome,Windows,,,TRUE,8,FALSE
266496,M,44,Safari,MacOS X,United Kingdom,-2.05 52.45,TRUE,11,FALSE
274754,F,26,Chrome,Windows,United States,-96.7524 33.0952,FALSE,11,FALSE
281383,F,34,Chrome,Windows,Morocco,-7.3944 33.7066,FALSE,14.6666666667,FALSE
290708,,41,Firefox,MacOS X,United States,-104.8738 39.6237,TRUE,10,TRUE
297674,M,50,Chrome,Windows,Japan,139.5522 35.6556,TRUE,10.8,FALSE
2uig4s,F,66,Firefox,Windows,Canada,-76.428 44.2955,FALSE,14.6666666667,FALSE
305952,M,53,Chrome,MacOS X,China,123.4328 41.7922,TRUE,9.3333333333,FALSE
315068,M,58,Chrome,Windows,Australia,143.2104 -33.494,TRUE,10.75,TRUE
323961,M,70,Chrome,Windows,Japan,139.69 35.69,FALSE,16,FALSE
332848,,38,Chrome,Windows,Hungary,19.0833 47.5,FALSE,9.5,FALSE
342091,M,65,Chrome,Windows,Netherlands,4.3 52.0833,TRUE,12,FALSE
351208,M,28,Chrome,Windows,China,113.7266 34.7725,FALSE,16,FALSE
357500,F,56,Firefox,Windows,France,-0.7148 47.6237,TRUE,12.8,TRUE
364853,F,69,Chrome,Windows,United States,-97.822 37.751,FALSE,9,FALSE
371558,F,22,Safari,MacOS X,Canada,-66.6683 45.8793,FALSE,15,FALSE
379174,M,43,Chrome,MacOS X,Romania,25 46,FALSE,16,FALSE
386307,F,39,Chrome,Windows,United States,-97.822 37.751,FALSE,10.5,FALSE
394280,M,23,Edge,Windows,South Africa,24 -29,FALSE,11,FALSE
3i6ql2,M,49,Safari,MacOS X,France,2.3387 48.8582,FALSE,20,FALSE
402159,F,30,Chrome,Windows,Mexico,-103.5833 20.2333,TRUE,13.5,FALSE
409181,M,23,Firefox,Windows,Uganda,32 1,FALSE,14,FALSE
416392,M,49,IE,Windows,United States,-97.822 37.751,FALSE,7.6666666667,FALSE
425073,F,48,Firefox,MacOS X,Netherlands,4.8995 52.3824,TRUE,9.8,FALSE
432960,F,60,Chrome,Windows,China,117.1767 39.1422,FALSE,8.6,TRUE
440203,M,23,Chrome,Windows,India,72.8258 18.975,TRUE,12,FALSE
448095,,35,Chrome,Windows,United States,-77.0146 38.8933,FALSE,13.5,FALSE
455778,F,28,Chrome,Windows,Germany,9.995 53.5553,TRUE,13.5,FALSE
464468,F,41,Chrome,Windows,Brazil,-48.5044 -1.4558,TRUE,8.375,TRUE
471736,M,73,Chrome,Windows,United States,-110.3607 31.5273,FALSE,12.3333333333,FALSE
480211,M,50,Chrome,MacOS X,United States,-93.1059 45.0059,FALSE,10.3333333333,FALSE
489641,F,42,Chrome,Windows,Russia,86.0285 56.081,TRUE,10.75,FALSE
495186,,29,Chrome,Windows,Sweden,18.056 59.3247,FALSE,17,FALSE
4m3rgs,M,75,Chrome,Windows,Colombia,-74.0628 4.6492,TRUE,12,FALSE
507205,F,22,Chrome,Windows,Italy,12.1097 43.1479,FALSE,15,FALSE
514746,F,39,Firefox,Windows,China,121.3997 31.0456,TRUE,9.5555555556,FALSE
521473,M,59,Chrome,Windows,Japan,139.7677 35.6427,TRUE,12,FALSE
528988,F,62,Chrome,Windows,Spain,-3.684 40.4172,FALSE,7.5,FALSE
539441,F,62,Chrome,Windows,United States,-122.3558 37.526,TRUE,9.6666666667,TRUE
547028,M,49,Chrome,Windows,United States,-97.6054 40.4991,FALSE,9,FALSE
555452,F,,Safari,MacOS X,United States,-105.2142 39.9469,FALSE,11.5,FALSE
565818,F,55,Chrome,MacOS X,Republic of Korea,126.9741 37.5112,TRUE,12.6666666667,FALSE
574870,F,38,Firefox,MacOS X,United States,-97.822 37.751,FALSE,9,FALSE
583429,M,58,Chrome,MacOS X,Austria,9.742 47.4143,FALSE,10,FALSE
592300,M,15,Edge,Windows,United States,-97.822 37.751,TRUE,12,FALSE
5cbba4,F,69,Chrome,Windows,United States,-88.0981 43.0606,FALSE,10,FALSE
604029,F,64,Chrome,Windows,United States,-122.2536 37.8668,FALSE,10,FALSE
612551,F,51,Chrome,Windows,Italy,15.0834 37.5166,FALSE,9.6666666667,FALSE
619868,M,55,Safari,MacOS X,United States,-121.946 37.425,FALSE,7.5,FALSE
628138,M,57,Firefox,Windows,United States,-122.2471 37.5331,FALSE,7.5,FALSE
636137,F,31,Safari,MacOS X,Brazil,-43.2192 -22.8305,TRUE,10,FALSE
645825,M,68,Chrome,Windows,France,-0.2556 49.2307,FALSE,8.8,FALSE
655444,F,72,Chrome,Windows,New Zealand,174.7667 -36.8667,FALSE,10,FALSE
663658,M,69,Chrome,Windows,Sweden,18.056 59.3247,FALSE,12,FALSE
671144,F,55,Chrome,MacOS X,Dominican Republic,-69.9 18.4667,FALSE,11,FALSE
681548,,49,Chrome,MacOS X,United States,-97.822 37.751,FALSE,14,FALSE
689479,M,60,Chrome,Windows,Colombia,-74.0628 4.6492,FALSE,13.5,FALSE
698432,M,17,Chrome,Windows,United States,-121.946 37.425,FALSE,16,FALSE
6t8zl3,F,51,Safari,MacOS X,Republic of Korea,126.9741 37.5112,TRUE,11.6666666667,FALSE
704512,M,57,Chrome,Windows,United States,-94.409 39.0495,TRUE,11,FALSE
710614,F,69,Chrome,Windows,Republic of Korea,129.0403 35.1028,FALSE,14.5,FALSE
719918,F,64,Chrome,MacOS X,Sweden,11.9667 57.7167,FALSE,10,FALSE
729107,F,18,Chrome,MacOS X,,,FALSE,12,FALSE
738086,F,66,Chrome,Windows,Egypt,31.223 30.0355,TRUE,10,FALSE
747692,F,32,Chrome,Windows,China,121.3997 31.0456,FALSE,9,FALSE
756519,F,38,Firefox,Windows,Argentina,-58.6984 -34.5468,TRUE,9.6,FALSE
765314,M,75,Chrome,MacOS X,United States,-97.822 37.751,FALSE,13,FALSE
771524,,40,Chrome,MacOS X,United States,-97.822 37.751,FALSE,9,FALSE
77b049,,45,Firefox,Windows,United Kingdom,-0.1224 51.4964,FALSE,7,FALSE
788033,M,32,Chrome,MacOS X,Republic of Korea,126.9743 37.5111,TRUE,11,FALSE
795516,M,39,Chrome,MacOS X,United Kingdom,-0.1224 51.4964,FALSE,12.5,FALSE
7lukwy,F,35,Firefox,Windows,United States,-74.0104 40.7087,FALSE,13,FALSE
802924,M,53,Firefox,MacOS X,United States,-99.3234 30.1134,FALSE,10,FALSE
812641,F,62,Chrome,MacOS X,Italy,12.1097 43.1479,FALSE,14,FALSE
820296,M,39,Firefox,Windows,Canada,-113.5 53.55,FALSE,11.5,FALSE
828252,M,,Firefox,Windows,Argentina,-58.3817 -34.6033,FALSE,11.75,TRUE
835287,F,21,Chrome,MacOS X,Italy,12.1097 43.1479,TRUE,13,FALSE
843178,M,75,Chrome,Windows,Japan,139.7677 35.6427,TRUE,9.75,FALSE
850975,F,41,Chrome,Windows,United States,-97.822 37.751,FALSE,9,FALSE
859011,M,40,Chrome,Windows,China,108.9286 34.2583,FALSE,7,FALSE
866250,F,74,Firefox,Windows,United States,-76.5159 42.4072,FALSE,9,FALSE
874001,F,52,Chrome,Windows,Japan,139.69 35.69,FALSE,7,FALSE
881764,M,63,Safari,MacOS X,United States,-110.3607 31.5273,FALSE,11,FALSE
890052,M,69,Chrome,MacOS X,Turkey,28.9948 41.0214,TRUE,12.5,FALSE
897750,M,46,Chrome,Windows,United States,-71.2047 42.5051,FALSE,10,FALSE
8t2ul3,F,,Firefox,Windows,United States,-93.2638 44.98,FALSE,8,FALSE
906120,F,68,Chrome,Windows,Argentina,-58.3816 -34.6033,TRUE,11,FALSE
913820,M,46,Chrome,Windows,United States,-97.822 37.751,FALSE,9.6666666667,TRUE
920258,M,68,Chrome,Windows,Finland,24.9375 60.1708,TRUE,9,FALSE
928372,,,Chrome,Windows,Japan,139.47 35.3419,FALSE,9.6666666667,FALSE
937910,M,51,Safari,MacOS X,Japan,139.4181 35.6928,FALSE,8.6666666667,TRUE
945289,M,55,Chrome,Windows,United States,-97.822 37.751,TRUE,9.2,FALSE
953361,M,23,Chrome,Windows,Switzerland,6.8747 46.5009,TRUE,13,FALSE
961767,F,42,Chrome,Windows,United States,-97.822 37.751,FALSE,10,FALSE
968430,F,35,Chrome,Windows,Germany,9.491 51.2993,TRUE,8.5,FALSE
977451,F,,Chrome,MacOS X,United States,-96.9398 32.8795,TRUE,8.6,FALSE
985774,M,34,Chrome,MacOS X,Italy,12.4833 41.9,FALSE,8,FALSE
992431,M,35,Chrome,Windows,Japan,135.4167 34.7667,FALSE,13,FALSE
999196,F,63,Chrome,Linux,,,FALSE,12,FALSE
a50zo2,F,53,Chrome,MacOS X,United States,-97.822 37.751,FALSE,13,TRUE
aww7bf,F,78,Chrome,Windows,France,2.3387 48.8582,FALSE,17,FALSE
bm3nty,F,72,Chrome,Windows,United States,-85.9738 39.8854,FALSE,9,FALSE
c7hkto,,43,Chrome,Windows,United States,-78.6253 35.7977,TRUE,10,FALSE
d249yt,M,41,Chrome,Windows,United Kingdom,-0.1224 51.4964,TRUE,14,FALSE
dxq7cf,M,71,Chrome,Windows,Bulgaria,25.6419 42.4328,FALSE,11,FALSE
eouif0,F,28,Chrome,Windows,China,102.7183 25.0389,FALSE,9,FALSE
f624hq,,56,Chrome,Windows,United States,-86.2539 32.404,TRUE,15,FALSE
fsmwyv,M,78,Chrome,MacOS X,China,114.1333 22.5333,FALSE,13,FALSE
gd171n,M,16,Chrome,Windows,China,118.7778 32.0617,FALSE,9,FALSE
gy6eiy,,18,Safari,MacOS X,,,FALSE,10,FALSE
hrpgc0,F,34,Chrome,MacOS X,United States,-77.4728 39.0481,FALSE,14.5,FALSE
ieuvda,M,56,Chrome,Windows,Czechia,14.4667 50.0833,FALSE,13,FALSE
j6403u,F,58,Chrome,MacOS X,United States,-77.4728 39.0481,FALSE,6,FALSE
jsn04d,M,39,Chrome,Windows,Japan,139.69 35.69,FALSE,10,FALSE
kqh0uq,,39,Chrome,MacOS X,United States,-83.0444 39.9881,TRUE,13,FALSE
lj9q1g,F,61,Chrome,Windows,Sri Lanka,79.8816 6.773,FALSE,8.5,FALSE
m8vxu8,F,53,Chrome,MacOS X,United States,-78.8515 42.9149,FALSE,7.5,FALSE
mzw9dn,M,52,Chrome,Windows,United States,-87.8445 42.1197,TRUE,12,FALSE
nqbkrx,M,56,Edge,Windows,Chile,-70.6682 -33.4625,FALSE,11,FALSE
ofi4l5,F,60,Chrome,Windows,United States,-87.6441 41.8825,TRUE,13,FALSE
p1ko7t,F,46,Chrome,Windows,Germany,9.2833 48.6833,TRUE,8.5,FALSE
pqtpnh,M,52,Chrome,MacOS X,United States,-74.5122 40.6308,FALSE,11,FALSE
qgqhv6,F,40,Firefox,Windows,Netherlands,4.9167 52.35,FALSE,21,FALSE
raysr9,M,39,Chrome,Windows,Morocco,-5 32,FALSE,9.5,FALSE
rz3qmu,F,46,Chrome,Windows,Germany,9.491 51.2993,TRUE,13.6666666667,FALSE
sus79q,M,48,Chrome,Windows,,,TRUE,12,FALSE
tv2nsb,M,65,Chrome,MacOS X,Japan,139.4853 35.9086,FALSE,11,FALSE
uefhj8,F,46,Chrome,Windows,United States,-97.822 37.751,TRUE,6,FALSE
v5zrr6,F,47,Firefox,Windows,Japan,144.3747 42.975,FALSE,10,FALSE
vzbjj2,M,65,Firefox,Windows,Portugal,-9.1394 38.7139,TRUE,10.5,FALSE
wpsjsc,F,37,Chrome,MacOS X,United States,-97.822 37.751,FALSE,13,FALSE
xd3vs1,F,74,Chrome,Windows,United States,-97.8535 31.0291,FALSE,11,FALSE
xxcjk1,F,37,Chrome,MacOS X,Colombia,-74.0758 4.5981,FALSE,5,FALSE
ytat48,M,49,IE,Windows,United States,-97.822 37.751,FALSE,12,FALSE
zilrk7,F,22,Chrome,MacOS X,Turkey,28.9948 41.0214,TRUE,11,FALSE
zzwlin,F,52,Chrome,Windows,United States,-84.6003 39.2682,FALSE,6,FALSE
7356,F,61,Safari,MacOS X,Germany,8.8317 49.57,FALSE,11.2,FALSE
14830,M,34,Chrome,Windows,United States,-80.9881 40.9083,FALSE,12,FALSE
24205,F,19,Chrome,Windows,,,FALSE,11,FALSE
31874,F,36,Chrome,MacOS X,Taiwan,121 23.5,TRUE,8.75,FALSE
39454,F,66,Safari,MacOS X,Romania,26.8333 45.15,FALSE,9.5,FALSE
48380,F,52,Chrome,Windows,Argentina,-58.3816 -34.6033,FALSE,9,FALSE
057djl,F,67,Safari,MacOS X,Japan,139.69 35.69,TRUE,11,FALSE
66955,M,43,Chrome,Windows,Japan,138.4333 36.3167,TRUE,10.6666666667,FALSE
74674,M,60,Chrome,Windows,China,113.7266 34.7725,FALSE,8.6666666667,FALSE
82377,F,67,Chrome,Windows,Germany,9.7009 48.6944,FALSE,14.5,FALSE
90153,F,,Chrome,MacOS X,Japan,139.7677 35.6427,FALSE,12,FALSE
99611,M,46,Chrome,Windows,United States,-77.0146 38.8933,FALSE,18,FALSE
0pwf1c,F,52,Chrome,Windows,Brazil,-46.6289 -23.5464,FALSE,11,FALSE
105464,F,24,Chrome,MacOS X,Japan,138.0167 34.7667,FALSE,14,FALSE
112293,F,55,Safari,MacOS X,United States,-97.822 37.751,FALSE,8.5,TRUE
122389,M,33,Chrome,Windows,United States,-74.573 40.6761,TRUE,9.4285714286,TRUE
130985,F,61,Firefox,MacOS X,United States,-82.8279 27.9772,TRUE,10.3333333333,FALSE
139766,,38,Chrome,Windows,United States,-80.1911 25.7631,TRUE,11.6666666667,FALSE
146338,F,63,Chrome,MacOS X,United States,-95.3628 29.7702,TRUE,9.5,TRUE
155496,F,54,Chrome,Windows,Norway,9.6967 59.0591,FALSE,13,FALSE
164009,M,40,Chrome,Windows,Japan,139.7677 35.6427,TRUE,12,FALSE
172416,F,21,Firefox,Windows,United States,-87.8127 41.9463,TRUE,20,FALSE
179475,M,47,Chrome,Windows,China,120.1614 30.2936,FALSE,7.6666666667,FALSE
186456,F,39,Chrome,Linux,,,TRUE,10,TRUE
193002,F,35,Chrome,MacOS X,China,108.9286 34.2583,FALSE,11.25,FALSE
1hmndf,,67,Chrome,Windows,United States,-78.6253 35.7977,FALSE,11,FALSE
202pae,,44,Chrome,Windows,United States,-96.9398 32.8795,TRUE,10.5,FALSE
212393,M,48,Chrome,Windows,Ireland,-6.2439 53.3472,FALSE,10,FALSE
220104,F,25,Chrome,Windows,,,FALSE,9,FALSE
227265,M,29,Chrome,MacOS X,Italy,12.1097 43.1479,TRUE,12.25,FALSE
236348,M,59,Chrome,Windows,United States,-83.0809 40.029,FALSE,10,FALSE
243343,F,48,Chrome,Windows,United States,-97.7097 30.2941,FALSE,11,FALSE
251739,F,59,Firefox,Windows,Togo,1.1667 8,TRUE,8.8,FALSE
25rcsc,F,55,Chrome,Windows,Czechia,14.4112 50.0848,FALSE,16,FALSE
269387,M,,Chrome,Windows,Spain,-2.6667 42.85,TRUE,15,FALSE
275595,F,73,Chrome,Windows,Uruguay,-56.1708 -34.8581,FALSE,12,FALSE
283735,F,26,Chrome,Windows,Canada,-113.4974 53.5428,FALSE,16,FALSE
291934,F,68,Chrome,Windows,,,TRUE,10.5,TRUE
298266,M,52,Chrome,MacOS X,United States,-74.2915 40.5525,TRUE,10,FALSE
2uajnf,F,68,Chrome,Linux,United States,-71.0843 42.3626,TRUE,8.6666666667,FALSE
305945,M,50,Chrome,Windows,China,116.3883 39.9289,FALSE,9.3333333333,FALSE
314000,F,43,Safari,MacOS X,United States,-97.822 37.751,FALSE,10,FALSE
321889,M,52,Chrome,MacOS X,France,2.3387 48.8582,FALSE,12.5,FALSE
330528,F,62,Chrome,Windows,Japan,139.7677 35.6427,TRUE,10.1428571429,TRUE
339783,F,71,Chrome,Windows,China,116.3883 39.9289,FALSE,11,FALSE
349113,F,46,Chrome,MacOS X,Turkey,32.8403 39.9117,FALSE,12,FALSE
356395,F,19,Firefox,Windows,Brazil,-48.2778 -10.2228,FALSE,20,FALSE
362854,F,44,Chrome,Windows,Austria,15.447 47.1294,FALSE,12.5,TRUE
36b89x,F,47,Chrome,Windows,United States,-97.822 37.751,FALSE,10,FALSE
377746,M,18,Chrome,MacOS X,United States,-97.822 37.751,FALSE,7,FALSE
385907,,58,Safari,MacOS X,Republic of Korea,127.4197 36.3214,FALSE,11.5,FALSE
393083,M,,Chrome,MacOS X,Germany,9.995 53.5553,FALSE,15,FALSE
3i5qay,,,Chrome,Windows,United Kingdom,-0.1224 51.4964,FALSE,10,FALSE
402879,M,37,Chrome,MacOS X,Ecuador,-78.5 -0.2167,FALSE,12,FALSE
410179,F,29,Chrome,Windows,Venezuela,-66.9167 10.5,FALSE,12,FALSE
416645,M,47,Chrome,Windows,China,116.3883 39.9289,FALSE,6.6666666667,FALSE
425871,M,17,Chrome,Windows,Germany,6.6312 49.4471,TRUE,10.5,FALSE
433800,M,40,Chrome,MacOS X,United States,-97.822 37.751,FALSE,11,FALSE
440805,M,25,Chrome,Windows,South Africa,24 -29,FALSE,11,FALSE
448943,M,74,Chrome,Windows,Italy,12.1097 43.1479,FALSE,11,FALSE
456566,F,64,Chrome,MacOS X,United States,-112.0041 43.4285,TRUE,11,FALSE
464129,M,62,Chrome,Windows,United States,-122.0574 37.4192,FALSE,12,FALSE
470617,M,,Chrome,Windows,United States,-110.3607 31.5273,FALSE,13,FALSE
478954,M,62,Firefox,Windows,India,77 20,FALSE,13.6666666667,FALSE
488410,F,57,Chrome,Windows,United States,-97.822 37.751,TRUE,14.75,FALSE
495136,M,41,Chrome,MacOS X,Germany,9.491 51.2993,FALSE,12,FALSE
4lvxl7,F,64,Chrome,MacOS X,Luxembourg,6.05 49.6111,TRUE,11,FALSE
503916,F,39,Chrome,Windows,United States,-97.822 37.751,FALSE,11.5,FALSE
512545,M,50,Chrome,Linux,Germany,9.491 51.2993,FALSE,9,FALSE
519293,M,35,Chrome,Windows,Mexico,-117.0167 32.5333,FALSE,12,FALSE
526876,M,50,Chrome,Linux,China,115.275 39.8897,TRUE,12,TRUE
537321,M,63,Chrome,Windows,Italy,12.1097 43.1479,FALSE,11,FALSE
545790,M,61,Chrome,Windows,United States,-97.822 37.751,TRUE,7.75,TRUE
552425,M,54,Firefox,MacOS X,United States,-82.3024 27.9003,FALSE,9.75,FALSE
560448,F,37,Chrome,Windows,United States,-104.874 38.9299,TRUE,10.3333333333,FALSE
568457,F,76,Chrome,Windows,Japan,139.7677 35.6427,TRUE,17,FALSE
577989,F,56,Chrome,MacOS X,United States,-72.5752 42.2586,TRUE,7.75,TRUE
587176,M,47,Firefox,Windows,Japan,139.7677 35.6427,TRUE,11.4,FALSE
595614,F,56,Chrome,Windows,United States,-97.822 37.751,FALSE,9.5,FALSE
5pek1d,M,,Chrome,Windows,Sweden,18.056 59.3247,FALSE,15,FALSE
605443,M,44,Chrome,Windows,Portugal,-8.6455 40.6443,FALSE,13.6666666667,FALSE
613170,M,47,Chrome,Windows,United States,-97.822 37.751,FALSE,10,FALSE
620554,M,43,Chrome,Windows,Japan,139.69 35.69,TRUE,11.3333333333,FALSE
628483,,37,Chrome,Windows,United States,-84.1494 33.9791,TRUE,11.5,FALSE
636955,F,,Chrome,MacOS X,Denmark,12.5833 55.6667,FALSE,9.5,TRUE
646944,F,60,Chrome,Windows,Republic of Korea,126.9741 37.5112,TRUE,10.5,FALSE
654550,M,71,Chrome,MacOS X,United States,-94.2066 30.2311,FALSE,14,FALSE
662921,F,41,Chrome,Windows,Japan,139.7677 35.6427,FALSE,16,FALSE
66hccb,F,71,Chrome,Windows,Thailand,100.4667 13.75,FALSE,12.5,FALSE
680457,F,73,Chrome,Windows,United States,-77.4728 39.0481,FALSE,11,FALSE
689192,M,56,Safari,MacOS X,South Africa,24 -29,FALSE,8.6666666667,FALSE
698424,F,,Firefox,Windows,Republic of Korea,126.9743 37.5111,FALSE,10.5,TRUE
6t7b2h,F,45,Chrome,Windows,Germany,10.9117 49.6289,FALSE,11,FALSE
704963,F,29,Chrome,Windows,United Kingdom,-0.3083 51.4862,TRUE,7.2,FALSE
712802,F,63,Safari,MacOS X,China,117.1767 39.1422,FALSE,10.3333333333,FALSE
720442,M,56,Chrome,Windows,Germany,9.491 51.2993,FALSE,8,FALSE
72gd3q,F,48,Chrome,Windows,Vietnam,105.85 21.0333,FALSE,11.5,FALSE
739121,M,62,Chrome,Windows,China,121.6589 42.0156,TRUE,8,TRUE
748366,M,57,Chrome,Windows,China,113.25 23.1167,FALSE,11.3333333333,FALSE
757116,M,39,Chrome,Windows,United States,-105.1396 40.524,FALSE,13.6666666667,FALSE
765167,M,48,Chrome,Windows,United States,-97.822 37.751,FALSE,9,FALSE
771508,F,,Chrome,Windows,Germany,6.76 49.3074,TRUE,9.8,FALSE
779874,M,57,Chrome,MacOS X,Japan,139.7677 35.6427,FALSE,12.6666666667,FALSE
788004,,29,Chrome,Windows,United States,-97.822 37.751,TRUE,13,FALSE
795514,F,68,Chrome,MacOS X,Brazil,-43.2192 -22.8305,FALSE,15,FALSE
7o5c87,M,32,Chrome,Windows,United States,-83.1769 42.5563,FALSE,13,FALSE
803421,F,42,Chrome,MacOS X,United States,-110.3607 31.5273,FALSE,10,FALSE
813339,,47,Chrome,Windows,Morocco,-5 32,FALSE,11.25,FALSE
821095,M,34,Edge,Windows,India,77 20,FALSE,16,FALSE
829160,M,33,Firefox,MacOS X,Netherlands,5.1191 52.0938,TRUE,9,FALSE
836191,F,69,Chrome,MacOS X,United States,-117.1649 32.8072,TRUE,8.8,FALSE
843850,,62,Chrome,Linux,Brazil,-43.2192 -22.8305,FALSE,14.3333333333,FALSE
852327,M,28,Chrome,MacOS X,China,123.4328 41.7922,FALSE,9.5,FALSE
859411,M,35,Chrome,Windows,France,2.3387 48.8582,FALSE,15,FALSE
866780,F,33,Chrome,Windows,United States,-117.1649 32.8072,TRUE,8,FALSE
874690,M,26,Chrome,Windows,United States,-97.822 37.751,FALSE,14,FALSE
882589,F,59,Chrome,Windows,India,72.9333 22.5667,TRUE,9.6,FALSE
891256,F,48,Firefox,Windows,United Kingdom,-1.6194 54.9881,TRUE,10.2,FALSE
898648,M,17,Chrome,Windows,China,116.3883 39.9289,FALSE,14,FALSE
8v64ck,F,59,Chrome,Windows,United States,-97.822 37.751,FALSE,13,FALSE
906919,M,29,Safari,MacOS X,United States,-110.3607 31.5273,TRUE,11.2,FALSE
914357,F,56,Chrome,Windows,China,104.0667 30.6667,FALSE,9.4,FALSE
920236,F,67,Chrome,Windows,Macedonia,21.3347 41.0314,FALSE,10.5,FALSE
928280,M,57,Chrome,Windows,China,108.9286 34.2583,TRUE,9.75,FALSE
937778,F,46,Chrome,MacOS X,United States,-77.4728 39.0481,FALSE,8,FALSE
945261,F,47,Chrome,Linux,Germany,9.491 51.2993,FALSE,11,FALSE
953324,F,26,Chrome,Windows,France,2.3387 48.8582,FALSE,10,FALSE
961750,M,71,Chrome,Windows,United States,-74.2915 40.5525,FALSE,14,FALSE
968253,M,65,Chrome,Windows,Germany,7.8 51.6833,FALSE,12.25,FALSE
977427,M,61,Safari,MacOS X,United States,-83.4341 33.941,FALSE,8,FALSE
984802,F,20,Chrome,MacOS X,Canada,-79.359 43.745,FALSE,10,FALSE
991968,,46,Chrome,Windows,United States,-81.5223 41.0651,FALSE,8.5,FALSE
998396,F,,Firefox,Windows,United States,-97.822 37.751,FALSE,12,FALSE
9vhgj9,F,62,Chrome,MacOS X,Italy,12.1119 43.5431,FALSE,10,FALSE
am6vfn,M,63,Chrome,Windows,United States,-97.822 37.751,FALSE,13,FALSE
bbxavl,,39,Chrome,Windows,United States,-81.27 28.1669,TRUE,10,FALSE
cc8ik0,M,47,Firefox,Windows,Canada,-83.052 42.2949,TRUE,9,FALSE
d1yqhg,F,42,Chrome,MacOS X,Japan,136.9167 35.2833,TRUE,8.6666666667,FALSE
dxcykj,M,41,Chrome,Windows,United States,-73.9339 40.6485,FALSE,7,FALSE
ekplza,M,25,Chrome,MacOS X,United States,-76.1518 43.044,TRUE,8.5,FALSE
fbzupd,F,68,Chrome,Linux,United States,-97.822 37.751,TRUE,9,FALSE
g2mjor,M,32,Chrome,Windows,China,116.3883 39.9289,FALSE,11,FALSE
grd2ue,,56,Chrome,MacOS X,China,123.4328 41.7922,TRUE,14.3333333333,FALSE
hohi8o,M,45,Chrome,Windows,United States,-110.3607 31.5273,FALSE,9,FALSE
id7bjw,F,41,Chrome,Windows,Germany,9.7217 52.4008,FALSE,16,FALSE
j2idxo,F,44,Chrome,Windows,Brazil,-43.2192 -22.8305,FALSE,15,FALSE
jslnyo,M,73,Chrome,MacOS X,United States,-96.4463 32.738,FALSE,17.5,FALSE
kcg116,F,27,Firefox,Windows,France,5.3761 43.2854,FALSE,12,FALSE
l9r3sp,M,32,Chrome,Windows,United States,-90.46 35.9542,TRUE,16,FALSE
